epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2181.09,0.28167,0.22213,0.79929,0.97651,1,0.99038,0.89658,0.28913,0.18408,0.7374,0.000325526,0.000325526,0.000325526
80,2209.67,0.27555,0.21503,0.79662,0.97655,1,0.98726,0.90793,0.28381,0.18771,0.73673,0.000311379,0.000311379,0.000311379
81,2238.13,0.27912,0.21509,0.80086,0.97704,1,0.98855,0.89573,0.30969,0.19051,0.73933,0.000297232,0.000297232,0.000297232
82,2266.45,0.28343,0.21476,0.79762,0.97596,1,0.99145,0.89059,0.29648,0.18136,0.73992,0.000283085,0.000283085,0.000283085
83,2294.91,0.27735,0.21257,0.79383,0.97614,1,0.9922,0.88847,0.31726,0.18944,0.7404,0.000268938,0.000268938,0.000268938
84,2323.56,0.28117,0.21609,0.79586,0.97665,1,0.99188,0.89366,0.31455,0.18184,0.74008,0.000254791,0.000254791,0.000254791
85,2353.51,0.26484,0.20735,0.79557,0.97654,1,0.9879,0.90075,0.29272,0.18595,0.73663,0.000240644,0.000240644,0.000240644
86,2381.86,0.26873,0.20881,0.7956,0.97668,1,0.98866,0.90878,0.2883,0.18162,0.73624,0.000226497,0.000226497,0.000226497
87,2410.72,0.2601,0.20411,0.79488,0.97681,1,0.98866,0.89966,0.29351,0.17761,0.73703,0.000212349,0.000212349,0.000212349
88,2439.27,0.26686,0.20647,0.79608,0.97626,1,0.98425,0.88659,0.31761,0.18454,0.74209,0.000198202,0.000198202,0.000198202
89,2468.15,0.26828,0.20794,0.79567,0.976,1,0.98683,0.90874,0.28935,0.17683,0.73762,0.000184055,0.000184055,0.000184055
90,2496.62,0.26719,0.20352,0.79617,0.97581,1,0.98618,0.90759,0.29634,0.17498,0.74156,0.000169908,0.000169908,0.000169908
91,2524.17,0.25197,0.1968,0.78232,0.9764,1,0.9822,0.89479,0.31164,0.18482,0.73944,0.000155761,0.000155761,0.000155761
92,2551.66,0.23326,0.18508,0.77771,0.97579,1,0.9807,0.89545,0.28967,0.18164,0.73883,0.000141614,0.000141614,0.000141614
93,2579.35,0.23963,0.18718,0.78053,0.9761,1,0.9807,0.88247,0.29749,0.18231,0.73896,0.000127467,0.000127467,0.000127467
94,2606.97,0.23417,0.18027,0.77662,0.97646,1,0.98392,0.89454,0.29111,0.17977,0.73842,0.00011332,0.00011332,0.00011332
95,2634.56,0.23277,0.17814,0.77873,0.97655,1,0.98435,0.88111,0.30264,0.17479,0.73992,9.91726e-05,9.91726e-05,9.91726e-05
96,2662.35,0.22984,0.17604,0.78419,0.97655,1,0.98532,0.88929,0.2912,0.17306,0.73785,8.50255e-05,8.50255e-05,8.50255e-05
97,2690.81,0.22024,0.1709,0.77519,0.97624,1,0.98608,0.90031,0.29343,0.17556,0.73883,7.08784e-05,7.08784e-05,7.08784e-05
98,2718.68,0.22517,0.16984,0.78223,0.97646,1,0.9864,0.89604,0.29402,0.17693,0.73847,5.67313e-05,5.67313e-05,5.67313e-05
99,2746.29,0.22133,0.17044,0.77686,0.97655,1,0.98747,0.90144,0.28809,0.17312,0.73767,4.25842e-05,4.25842e-05,4.25842e-05
100,2774.14,0.22096,0.17067,0.77715,0.97642,1,0.98575,0.89901,0.28803,0.16977,0.73745,2.84371e-05,2.84371e-05,2.84371e-05
